Gel(kPa),Area(um2),RMS Traction(Pa)
8.5,804.1486,99.08633
8.5,912.1742,1413.066
8.5,701.4072,448.9579
8.5,450.7972,692.0909
8.5,332.9857,249.7971
8.5,857.081,1474.176
8.5,468.228,576.509
8.5,776.7517,644.5995
8.5,1025.595,663.1468
8.5,933.6768,738.8795
0.6,449.7298,39.17259
0.6,703.8108,66.9043
0.6,867.203,101.022
0.6,578.6389,132.9313
0.6,981.1546,101.7964
0.6,1184.771,108.3012
0.6,716.8381,33.83419
0.6,612.4004,60.62837
0.6,556.0509,147.4104
0.6,723.3548,135.1939
0.6,480.0966,117.1643
0.6,554.9476,124.6197
0.6,625.0748,96.26881
0.6,604.1481,19.99739
0.6,450.4769,12.25248
0.6,589.1889,69.55337
0.6,437.1976,16.25311
0.6,593.97,28.73047
0.6,437.724,36.56559
0.6,548.7289,16.00344
0.6,491.2348,9.82964
0.6,598.4582,9.96295
8.5,627.2463,77.06462
8.5,653.8241,133.4161
8.5,442.0773,100.2658
8.5,644.9198,56.96065
8.5,764.6389,84.66325
8.5,532.4951,738.6278
8.5,489.6371,311.1383
8.5,517.1684,202.8889
8.5,554.1361,132.5893
8.5,397.9203,378.4663
8.5,520.0495,364.5404
8.5,526.08,222.9333
8.5,656.8241,215.9003
8.5,455.0594,201.8361
8.5,1087.61,555.3229
8.5,836.4962,695.5886
0.6,391.0648,13.19076
0.6,487.3049,20.41385
0.6,421.1378,18.96736
0.6,272.0839,15.60681
0.6,408.2497,12.60618
0.6,321.5062,37.7738
0.6,534.0066,105.1648
0.6,316.1755,8.54859
0.6,370.5842,16.49598
0.6,238.4199,6.66726
0.6,347.9728,9.48613
0.6,348.0659,26.09306
0.6,707.8156,5.26401
0.6,470.2525,32.73317
0.6,378.311,36.54521
0.6,472.7193,33.64576
0.6,787.4887,106.423
0.6,653.9341,113.1665
0.6,459.3409,130.687
0.6,428.9929,80.09137
0.6,254.7009,110.3595
0.6,551.1876,45.19275
0.6,510.2966,10.15575
0.6,385.4216,24.26014
0.6,420.2886,30.2933
