Gel(kPa),Area(um2),Prestress(Pa)
8.5,804.1486,83.5838
8.5,912.1742,295.6013
8.5,701.4072,85.39752
8.5,450.7972,53.7659
8.5,332.9857,85.8409
8.5,857.081,3027.57
8.5,468.228,255.0284
8.5,776.7517,944.3949
8.5,1025.595,1555.36
8.5,933.6768,172.97
0.6,449.7298,98.2645
0.6,703.8108,66.5611
0.6,867.203,174.766
0.6,578.6389,73.5872
0.6,981.1546,156.106
0.6,1184.771,83.9039
0.6,716.8381,10.3548
0.6,612.4004,37.1952
0.6,556.0509,48.4127
0.6,723.3548,158.199
0.6,480.0966,113.15
0.6,554.9476,213.065
0.6,625.0748,46.1839
0.6,604.1481,27.61757
0.6,450.4769,4.88445
0.6,589.1889,133.891
0.6,437.1976,25.73666
0.6,593.97,38.8678
0.6,437.724,33.2637
0.6,548.7289,9.78882
0.6,491.2348,0.66992
0.6,598.4582,4.7795
8.5,627.2463,78.7986
8.5,653.8241,103.105
8.5,442.0773,4.49932
8.5,644.9198,12.5316
8.5,764.6389,10.243
8.5,532.4951,273.345
8.5,489.6371,151.6685
8.5,517.1684,205.823
8.5,554.1361,212.255
8.5,397.9203,189.7589
8.5,520.0495,151.609
8.5,526.08,438.3368
8.5,656.8241,44.717
8.5,455.0594,115.6673
8.5,1087.61,195.8688
8.5,836.4962,176.5309
0.6,391.0648,6.92463
0.6,487.3049,24.88162
0.6,421.1378,11.9952
0.6,272.0839,2.03452
0.6,408.2497,15.69872
0.6,321.5062,19.5088
0.6,534.0066,11.0343
0.6,316.1755,3.94131
0.6,370.5842,18.51602
0.6,238.4199,2.91227
0.6,347.9728,1.35103
0.6,348.0659,18.3734
0.6,707.8156,0.34185
0.6,470.2525,79.04905
0.6,378.311,83.32133
0.6,472.7193,7.7141
0.6,787.4887,166.496
0.6,653.9341,88.4216
0.6,459.3409,30.7952
0.6,428.9929,81.4922
0.6,254.7009,120.181
0.6,551.1876,90.65841
0.6,510.2966,9.73365
0.6,385.4216,21.81118
0.6,420.2886,46.65169
