Gel(kPa),RMS Traction(Pa),Net Contractile Moment (PJ),Total Strain Energy(PJ),Max Force(nN),Area(um2),Prestress(Pa)
8.5,99.08633,-0.38319,0.00285,7.11858,804.1486,83.5838
8.5,1413.066,0.26449,0.53939,160.8264,912.1742,295.6013
8.5,448.9579,0.10495,0.03287,23.04144,701.4072,85.39752
8.5,692.0909,-0.03357,0.04988,5.00578,450.7972,53.7659
8.5,249.7971,-0.23914,0.00547,5.59892,332.9857,85.8409
8.5,1474.176,5.1943,1.0754,178.5025,857.081,3027.57
8.5,576.509,0.20809,0.10222,27.9511,468.228,255.0284
8.5,644.5995,0.3961,0.24626,93.48051,776.7517,944.3949
8.5,663.1468,0.07749,0.38505,81.45134,1025.595,1555.36
8.5,738.8795,-0.64026,0.40865,33.85167,933.6768,172.97
0.6,39.17259,0.0665,0.00432,5.87755,449.7298,98.2645
0.6,66.9043,-0.11577,0.02008,1.83193,703.8108,66.5611
0.6,101.022,-0.74496,0.05376,0.40624,867.203,174.766
0.6,132.9313,-0.25496,0.04351,4.00207,578.6389,73.5872
0.6,101.7964,-0.9034,0.06867,0.40624,981.1546,156.106
0.6,108.3012,-0.64952,0.09038,1.29559,1184.771,83.9039
0.6,33.83419,-0.02644,0.00326,0.61216,716.8381,10.3548
0.6,60.62837,-0.11679,0.00899,0.40624,612.4004,37.1952
0.6,147.4104,-0.1715,0.04845,1.12976,556.0509,48.4127
0.6,135.1939,-0.60321,0.06763,0.40624,723.3548,158.199
0.6,117.1643,-0.36839,0.03679,0.40624,480.0966,113.15
0.6,124.6197,-0.38293,0.04205,0.40624,554.9476,213.065
0.6,96.26881,-0.20816,0.02475,0.31482,625.0748,46.1839
0.6,19.99739,0.06196,0.00143,2.70854,604.1481,27.61757
0.6,12.25248,0.01032,0.00046,0.74735,450.4769,4.88445
0.6,69.55337,-0.3343,0.02192,0.40624,589.1889,133.891
0.6,16.25311,0.02758,0.00075,2.53187,437.1976,25.73666
0.6,28.73047,-0.13183,0.00401,0.40624,593.97,38.8678
0.6,36.56559,-0.07608,0.00322,0.40624,437.724,33.2637
0.6,16.00344,-0.00374,0.00098,0.40624,548.7289,9.78882
0.6,9.82964,-0.00886,0.00045,0.31903,491.2348,0.66992
0.6,9.96295,-0.01556,0.00064,0.40624,598.4582,4.7795
8.5,77.06462,-0.31988,0.00161,7.11858,627.2463,78.7986
8.5,133.4161,-0.40506,0.00332,0.99022,653.8241,103.105
8.5,100.2658,-0.00012,0.00105,0.92254,442.0773,4.49932
8.5,56.96065,-0.04636,0.00053,0.31553,644.9198,12.5316
8.5,84.66325,-0.02454,0.00114,1.36418,764.6389,10.243
8.5,738.6278,-0.88328,0.0983,7.11858,532.4951,273.345
8.5,311.1383,0.10072,0.0162,27.05168,489.6371,151.6685
8.5,202.8889,-0.70397,0.00777,7.11858,517.1684,205.823
8.5,132.5893,-0.13265,0.00315,7.11858,554.1361,212.255
8.5,378.4663,0.12587,0.01475,18.42423,397.9203,189.7589
8.5,364.5404,-0.53125,0.0224,4.10231,520.0495,151.609
8.5,222.9333,0.18999,0.00883,24.7531,526.08,438.3368
8.5,215.9003,-0.10954,0.00822,7.6145,656.8241,44.717
8.5,201.8361,0.05455,0.00394,6.62266,455.0594,115.6673
8.5,555.3229,0.21761,0.07979,63.9128,1087.61,195.8688
8.5,695.5886,0.84234,0.11333,59.09763,836.4962,176.5309
0.6,13.19076,0.01589,0.00046,1.21915,391.0648,6.92463
0.6,20.41385,0.04179,0.00106,2.02698,487.3049,24.88162
0.6,18.96736,-0.03832,0.00082,0.40624,421.1378,11.9952
0.6,15.60681,-0.00015,0.00036,0.7102,272.0839,2.03452
0.6,12.60618,0.013,0.0004,1.26252,408.2497,15.69872
0.6,37.7738,-0.0244,0.00202,0.40624,321.5062,19.5088
0.6,105.1648,-0.01048,0.04157,2.51618,534.0066,11.0343
0.6,8.54859,0.00188,0.00011,0.24333,316.1755,3.94131
0.6,16.49598,0.02201,0.00064,1.42471,370.5842,18.51602
0.6,6.66726,-0.00297,0.00006,0.40624,238.4199,2.91227
0.6,9.48613,0.00038,0.00022,0.09244,347.9728,1.35103
0.6,26.09306,-0.01983,0.00177,0.40624,348.0659,18.3734
0.6,5.26401,-0.00217,0.00005,0.07972,707.8156,0.34185
0.6,32.73317,0.04747,0.00285,4.97201,470.2525,79.04905
0.6,36.54521,0.06266,0.00289,4.36523,378.311,83.32133
0.6,33.64576,-0.01117,0.00327,1.42086,472.7193,7.7141
0.6,106.423,-0.69746,0.05331,0.40624,787.4887,166.496
0.6,113.1665,-0.3707,0.04741,0.40624,653.9341,88.4216
0.6,130.687,0.06163,0.02956,8.67231,459.3409,30.7952
0.6,80.09137,-0.17774,0.01351,0.40624,428.9929,81.4922
0.6,110.3595,-0.14515,0.01231,0.40624,254.7009,120.181
0.6,45.19275,0.19118,0.00684,9.24479,551.1876,90.65841
0.6,10.15575,0.00063,0.0003,0.78959,510.2966,9.73365
0.6,24.26014,0.01744,0.0009,1.91968,385.4216,21.81118
0.6,30.2933,0.08509,0.00219,3.62523,420.2886,46.65169
